id,key,lang,url
5c2421f3-69d0-44d1-b22f-a39a89233db2,tawaf_2,tr,https://coaqrsapnpyutsxflsru.supabase.co/storage/v1/object/public/audio%20TR/TR%20Tawaf%202.mp3
5c8b1115-b77c-4a3a-83f2-08b7ae582b6f,safa_1,ru,https://coaqrsapnpyutsxflsru.supabase.co/storage/v1/object/public/audio/ru_safa_1.mp3
601b6b6f-f8fa-41fd-bdd2-a922a8c45e85,safa_1,ar,https://coaqrsapnpyutsxflsru.supabase.co/storage/v1/object/public/audio%20AR/AR%20Safa%201.mp3
6219f9a8-4275-4a91-9238-a145f0ead525,safa_end,id,https://coaqrsapnpyutsxflsru.supabase.co/storage/v1/object/public/audio%20Id/ID%20Safa%20End.mp3
638b73f5-fed4-4463-9d79-ff9074cd3549,tawaf_2,kk,https://coaqrsapnpyutsxflsru.supabase.co/storage/v1/object/public/audio%20UZ/KZ%20Tawaf%202.mp3
643ecb64-d7d0-461e-8d7e-954ff9b7b569,safa_7,ru,https://coaqrsapnpyutsxflsru.supabase.co/storage/v1/object/public/audio/ru_safa_7.mp3
660b761b-e830-40c6-beba-9abc23b300b0,zam_zam,bn,https://coaqrsapnpyutsxflsru.supabase.co/storage/v1/object/public/audio%20BN/BN%20Zam%20Zam.mp3
67008005-0d3c-4b87-8910-0da2c72d7672,safa_end,ms,https://coaqrsapnpyutsxflsru.supabase.co/storage/v1/object/public/audio%20MS/MS%20Safa%20End.mp3
6788e253-2b7e-4a25-a754-07d0f457a5de,safa_end,bn,https://coaqrsapnpyutsxflsru.supabase.co/storage/v1/object/public/audio%20BN/bn_end.mp3
6851f5e7-328e-45eb-963e-bde54d076963,safa_go,ms,https://coaqrsapnpyutsxflsru.supabase.co/storage/v1/object/public/audio%20MS/MS%20Safa%20Go.mp3
68d54763-dfbe-46f1-ac57-5b90ee48331f,safa_go,kk,https://coaqrsapnpyutsxflsru.supabase.co/storage/v1/object/public/audio%20UZ/KZ%20Safa%20Go.mp3
6c3c33fa-566e-4ab5-a6b1-983f673e66d1,safa_2,kk,https://coaqrsapnpyutsxflsru.supabase.co/storage/v1/object/public/audio%20UZ/KZ%20Safa%201.mp3
6c47722e-0ede-4169-9904-c5f3bdab82f8,safa_4,id,https://coaqrsapnpyutsxflsru.supabase.co/storage/v1/object/public/audio%20Id/ID%20Safa%204.mp3
6cf0ce55-58b9-48e7-bbaf-60163ee62ad4,tawaf_4,ms,https://coaqrsapnpyutsxflsru.supabase.co/storage/v1/object/public/audio%20MS/MS%20Tawaf%204.mp3
6d843f5a-63ca-489f-985b-c7998e55fddd,safa_3,en,https://coaqrsapnpyutsxflsru.supabase.co/storage/v1/object/public/audio%20EN/EN%20Safa%203.mp3
735add18-deaa-49b5-8acd-c48d689fa9b0,safa_7,tr,https://coaqrsapnpyutsxflsru.supabase.co/storage/v1/object/public/audio%20TR/TR%20Safa%207.mp3
73e7f4db-1a5d-491c-82e8-e0513a9e4563,safa_dua,ar,https://coaqrsapnpyutsxflsru.supabase.co/storage/v1/object/public/audio%20AR/AR%20Safa%20Dua.mp3
78524204-ebd2-488f-bdb3-f64992905477,tawaf_start,ar,https://coaqrsapnpyutsxflsru.supabase.co/storage/v1/object/public/audio%20AR/AR%20Start.mp3
7892115a-ba75-4279-a4f2-320259c4a8fa,safa_5,kk,https://coaqrsapnpyutsxflsru.supabase.co/storage/v1/object/public/audio%20UZ/KZ%20Safa%205.mp3
79519cec-3fe0-46a9-9742-7a835473fc92,safa_go,id,https://coaqrsapnpyutsxflsru.supabase.co/storage/v1/object/public/audio%20Id/ID%20Safa%20Go.mp3
7c727209-2c34-4669-b9ad-a8da265709b1,safa_2,id,https://coaqrsapnpyutsxflsru.supabase.co/storage/v1/object/public/audio%20Id/ID%20Safa%202.mp3
7d48a7b2-bd9a-43c3-aeb6-6751f62dc91b,safa_6,tr,https://coaqrsapnpyutsxflsru.supabase.co/storage/v1/object/public/audio%20TR/TR%20Safa%206.mp3
7de1eea2-7d96-41e3-8366-774c42a533a3,tawaf_7,ar,https://coaqrsapnpyutsxflsru.supabase.co/storage/v1/object/public/audio%20AR/AR%20Tawaf%207.mp3
7e6512b7-b69d-4a36-8383-a443f1f7fdbb,safa_3,kk,https://coaqrsapnpyutsxflsru.supabase.co/storage/v1/object/public/audio%20UZ/KZ%20Safa%203.mp3
7f7008d2-297e-41b0-a962-8ff18122b23b,tawaf_5,ms,https://coaqrsapnpyutsxflsru.supabase.co/storage/v1/object/public/audio%20MS/MS%20Tawaf%205.mp3
7fa64363-3baf-45f2-932b-297919f50985,safa_1,ms,https://coaqrsapnpyutsxflsru.supabase.co/storage/v1/object/public/audio%20MS/MS%20Safa%201.mp3
80d66c15-3054-4703-8cbd-b4c49f708d12,tawaf_4,ru,https://coaqrsapnpyutsxflsru.supabase.co/storage/v1/object/public/audio/RU%20Tawaf%204.mp3
815dfc50-0012-4099-8c07-d0d53384b76d,safa_1,tr,https://coaqrsapnpyutsxflsru.supabase.co/storage/v1/object/public/audio%20TR/TR%20Safa%201.mp3
83760643-51c3-4496-ba28-31f998b3739f,tawaf_6,tr,https://coaqrsapnpyutsxflsru.supabase.co/storage/v1/object/public/audio%20TR/TR%20Tawaf%206.mp3
83a2b448-4b7a-494f-b745-9affb5459ed0,safa_4,tr,https://coaqrsapnpyutsxflsru.supabase.co/storage/v1/object/public/audio%20TR/TR%20Safa%204.mp3
83b5443e-6aba-41c5-959e-96b8f9f8368a,tawaf_7,tr,https://coaqrsapnpyutsxflsru.supabase.co/storage/v1/object/public/audio%20TR/TR%20Tawaf%207.mp3
84ec8bb1-f561-43d6-bfcb-6ff56e2bd892,safa_go,uz,https://coaqrsapnpyutsxflsru.supabase.co/storage/v1/object/public/audio%20UZZ/UZ%20Safa%20Go.mp3
86354d45-f239-4973-bbf8-7d111e7744c7,safa_3,ar,https://coaqrsapnpyutsxflsru.supabase.co/storage/v1/object/public/audio%20AR/AR%20Safa%203.mp3
8775b3b7-9e9b-46f2-b1e4-855f9cc9dfff,pray,ms,https://coaqrsapnpyutsxflsru.supabase.co/storage/v1/object/public/audio%20MS/MS%20Pray.mp3
884a7ecf-b681-45da-9486-3d098270b1d2,tawaf_1,id,https://coaqrsapnpyutsxflsru.supabase.co/storage/v1/object/public/audio%20Id/ID%20Tawaf%201.mp3
896d1dab-3b73-4caf-adca-1f035e8bba63,tawaf_1,ar,https://coaqrsapnpyutsxflsru.supabase.co/storage/v1/object/public/audio%20AR/AR%20Tawaf%201.mp3
8bea5d66-1a74-4355-af53-2ef7536d36a7,safa_end,en,https://coaqrsapnpyutsxflsru.supabase.co/storage/v1/object/public/audio%20EN/EN%20Safa%20End.mp3
8c974785-27b7-4b06-ad56-662db5833fce,tawaf_2,ar,https://coaqrsapnpyutsxflsru.supabase.co/storage/v1/object/public/audio%20AR/AR%20Tawaf%202.mp3
8f443df3-f7eb-4da1-a094-23467a31e0bb,safa_6,uz,https://coaqrsapnpyutsxflsru.supabase.co/storage/v1/object/public/audio%20UZZ/UZ%20Safa%206.mp3
930bb3f0-3391-4093-bede-e377f097e10c,zam_zam,ru,https://coaqrsapnpyutsxflsru.supabase.co/storage/v1/object/public/audio/ru_zam_zam.mp3
9371482c-0285-4ffd-b481-47c4f5ac1bde,tawaf_start,bn,https://coaqrsapnpyutsxflsru.supabase.co/storage/v1/object/public/audio%20BN/BN%20Start.mp3
93ccbc46-0ebb-4c00-acae-4f988b491cac,tawaf_3,bn,https://coaqrsapnpyutsxflsru.supabase.co/storage/v1/object/public/audio%20BN/BN%20Tawaf%203.mp3
94d5de2e-4aae-4b49-9ae5-893020b46f83,tawaf_1,tr,https://coaqrsapnpyutsxflsru.supabase.co/storage/v1/object/public/audio%20TR/TR%20Tawaf%201.mp3
95847c76-d03b-4857-a83f-0015c83f3621,safa_5,tr,https://coaqrsapnpyutsxflsru.supabase.co/storage/v1/object/public/audio%20TR/TR%20Safa%205.mp3
9693c36c-327d-42f2-9346-f4033015c13d,tawaf_5,uz,https://coaqrsapnpyutsxflsru.supabase.co/storage/v1/object/public/audio%20UZZ/UZ%20Tawaf%205.mp3
96b420ba-70e9-476e-ae83-da966e9fb120,safa_dua,id,https://coaqrsapnpyutsxflsru.supabase.co/storage/v1/object/public/audio%20Id/ID%20Safa%20Dua.mp3
97243e95-4e00-465e-bd7a-74354bc7fcc9,zam_zam,en,https://coaqrsapnpyutsxflsru.supabase.co/storage/v1/object/public/audio%20EN/en_zamzam.mp3
97284a0e-0ca8-42ee-97bb-7ccedc2e6a8d,pray,uz,https://coaqrsapnpyutsxflsru.supabase.co/storage/v1/object/public/audio%20UZZ/UZ%20Pray.mp3
993baf7f-0d19-4e9a-97d9-971feae87b17,safa_end,ar,https://coaqrsapnpyutsxflsru.supabase.co/storage/v1/object/public/audio%20AR/AR%20Safa%20End.mp3
9a0c39b0-2594-40e8-9457-30702862335b,safa_end,uz,https://coaqrsapnpyutsxflsru.supabase.co/storage/v1/object/public/audio%20UZZ/UZ%20Safa%20End.mp3
9d9fa52f-590a-457d-8ffd-f68184325805,safa_2,ru,https://coaqrsapnpyutsxflsru.supabase.co/storage/v1/object/public/audio/ru_safa_2.mp3
9ddaf51e-417a-483c-8602-058ecf903402,tawaf_6,ru,https://coaqrsapnpyutsxflsru.supabase.co/storage/v1/object/public/audio/ru_tawaf_6.mp3
a0aacdc1-fb53-4423-b152-1826502557f2,safa_2,en,https://coaqrsapnpyutsxflsru.supabase.co/storage/v1/object/public/audio%20EN/EN%20Safa%202.mp3
a1e6cf15-17fb-4b1c-b816-8e17256f82cd,tawaf_2,ru,https://coaqrsapnpyutsxflsru.supabase.co/storage/v1/object/public/audio/ru_tawaf_2.mp3
a22442e2-f2a2-4e29-a2fe-7821a7c8ff11,safa_2,uz,https://coaqrsapnpyutsxflsru.supabase.co/storage/v1/object/public/audio%20UZZ/UZ%20Safa%202.mp3
a36a2c17-0464-46c6-a3e8-8f0ba80ac431,safa_7,en,https://coaqrsapnpyutsxflsru.supabase.co/storage/v1/object/public/audio%20EN/EN%20Safa%207.mp3
a42123eb-39de-47a8-b4ea-8f263a90498f,tawaf_3,kk,https://coaqrsapnpyutsxflsru.supabase.co/storage/v1/object/public/audio%20UZ/KZ%20Tawaf%203.mp3
a570644d-a158-48ee-9a62-e13030a390be,safa_6,kk,https://coaqrsapnpyutsxflsru.supabase.co/storage/v1/object/public/audio%20UZ/KZ%20Safa%206.mp3
